FEED URL	TAGS STRING	FEED DESCRIPTION	ABOUT PAGE	COMPANY GAME
http://www.2kgames.com/news/list?format=rss	"2kgames","thirdparty","publisher","worldwide","pr","generic"	Official News Feed of 2K Games	http://www.2kgames.com/#/about-2k/	Bioshock series
twitter://2KGames	"2kgames","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of 2K Games	http://www.2kgames.com/#/about-2k/	Bioshock series
youtube://2KGames 	"2kgames","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of 2K Games	http://www.2kgames.com/#/about-2k/	Bioshock series
twitter://Halowaypoint	"343industries","microsoft","studio","america","pr","microsoftexclusive"	Official Twitter Account of 343 Industries, developer of Halo 4	http://www.microsoft-careers.com/go/343-Industries-Jobs/190537/	Halo 4
youtube://HaloWaypoint	"343industries","microsoft","studio","america","pr","microsoftexclusive"	Official Youtube Channel of 343 Industries, developer of Halo 4	http://www.microsoft-careers.com/go/343-Industries-Jobs/190537/	Halo 4
flickr://39349482@N08	,,,"america","people","generic"	Official Flickr Account of Corrinne Yu: Director of Technology on XBOX 360, PS3, PC & Principal Engine Programmer of Halo 4		
twitter://Corrinne	,,,"america","people","generic"	Official Twitter Account of Corrinne Yu: Director of Technology on XBOX 360, PS3, PC & Principal Engine Programmer of Halo 4		
http://www.5thcell.com/category/news/feed/	"5thcell","thirdparty","studio","america","pr","generic"	Official News Feed of 5th Cell	http://www.5thcell.com/studio/about/	Scribblenauts series
facebook://197404747597	"5thcell","thirdparty","studio","america","pr","generic"	Official Facebook Page of 5th Cell	http://www.5thcell.com/studio/about/	Scribblenauts series
twitter://5thcell	"5thcell","thirdparty","studio","america","pr","generic"	Official Twitter Account of 5th Cell	http://www.5thcell.com/studio/about/	Scribblenauts series
youtube://5THCell	"5thcell","thirdparty","studio","america","pr","generic"	Official Youtube Channel of 5th Cell	http://www.5thcell.com/studio/about/	Scribblenauts series
twitter://Swery65	,,,"japan","people","generic"	Official Twitter Account of Sweary65: Director & Producer for Access Games		Deadly Premonition
http://forums.aceteam.cl/blog/zenoclash/index.php?req=syndicate	"aceteam","indie","studio","world","pr","generic"	Official News Feed of Ace Team Software	http://www.aceteam.cl/	Rock of Ages
facebook://190437300998555	"aceteam","indie","studio","world","pr","generic"	Official Facebook Page of Ace Team Software	http://www.aceteam.cl/	Rock of Ages
twitter://theACETeam	"aceteam","indie","studio","world","pr","generic"	Official Twitter Account of Ace Team Software	http://www.aceteam.cl/	Rock of Ages
youtube://ACETeamSoftware 	"aceteam","indie","studio","world","pr","generic"	Official Youtube Channel Ace Team Software	http://www.aceteam.cl/	Rock of Ages
twitter://acquire_pr	"acquire","independent","studio","japan","pr","japanese only"	Official Twitter Account of Acquire Corp.	http://eng.acquire.co.jp/info.php	Tenchu
facebook://198420363518521	"acquire","independent","studio","japan","pr","japanese only"	Official Facebook Page of Acquire Corp.	http://eng.acquire.co.jp/info.php	Tenchu
http://apps.shareholder.com/rss/rss.aspx?channels=524&companyid=ACTI	"activision","thirdparty","distributor","worldwide","pr","generic"	Official News Feed of Activision	http://www.activision.com/ROOT/en_US/web/AboutActivision/seniorManagement/about_us.html	
youtube://ActivisionGames	"activision","thirdparty","distributor","worldwide","pr","generic"	Official Youtube Channel of Activision	http://www.activision.com/ROOT/en_US/web/AboutActivision/seniorManagement/about_us.html	
facebook://245013245537015	"airtightgames","independent","studio","america","pr","generic"	Official Facebook Page of Airtight Games	http://www.airtightgames.com/	Quantum Conundrum
http://www.inthebasecase.com/?feed=rss2	,,,"america","people","generic"	Official News Feed of Kim Swift: Creative Director at Airtight Games		Quantum Conundrum
twitter://AirtightGames	"airtightgames","independent","studio","america","pr","generic"	Official Twitter Account of Airtight Games	http://www.airtightgames.com/	Quantum Conundrum
twitter://K2theSwift	,,,"america","people","generic"	Official Twitter Account of Kim Swift: Creative Director at Airtight Games		Quantum Conundrum
facebook://324637879117	"amanitadesign","indie","studio","europe","pr","generic"	Official Facebook Page of Amanita Design	http://amanita-design.net/about.html	Machinarium
twitter://Amanita_Design	"amanitadesign","indie","studio","europe","pr","generic"	Official Twitter Account of Amanita Design	http://amanita-design.net/about.html	Machinarium
http://amanita-design.net/blog/feed/	"amanitadesign","indie","studio","europe","pr","generic"	Official News Feed of Amanita Design	http://amanita-design.net/about.html	Machinarium
youtube://jdamanita	"amanitadesign","indie","studio","europe","pr","generic"	Official Youtube Channel of Amanita Design	http://amanita-design.net/about.html	Machinarium
facebook://280579462046917	"arcsystemworks","thirdparty","publisher","japan","pr","beatemup"	Official Facebook Page of Arc System Works	http://www.arcsystemworks.eu/company.php	BlazBlue series
twitter://blazblue_europe	"arcsystemworks","thirdparty","publisher","japan","pr","beatemup"	Official Twitter Account of Arc System Works	http://www.arcsystemworks.eu/company.php	BlazBlue series
youtube://arcsystemworks	"arcsystemworks","thirdparty","publisher","japan","pr","beatemup"	Official Youtube Channel of Arc System Works	http://www.arcsystemworks.eu/company.php	BlazBlue series
